Epoch 1: train_loss=1.7915, val_loss=1.7900, val_acc=0.2320
Epoch 2: train_loss=1.7864, val_loss=1.7891, val_acc=0.2080
Epoch 3: train_loss=1.7807, val_loss=1.7876, val_acc=0.2040
Epoch 4: train_loss=1.7764, val_loss=1.7858, val_acc=0.1660
Epoch 5: train_loss=1.7643, val_loss=1.7833, val_acc=0.1280
Epoch 6: train_loss=1.7570, val_loss=1.7818, val_acc=0.0860
Epoch 7: train_loss=1.7446, val_loss=1.7803, val_acc=0.0820
Epoch 8: train_loss=1.7369, val_loss=1.7779, val_acc=0.1020
Epoch 9: train_loss=1.7268, val_loss=1.7744, val_acc=0.1360
Epoch 10: train_loss=1.7177, val_loss=1.7700, val_acc=0.1780
Epoch 11: train_loss=1.7007, val_loss=1.7648, val_acc=0.2140
Epoch 12: train_loss=1.6931, val_loss=1.7592, val_acc=0.2480
Epoch 13: train_loss=1.6789, val_loss=1.7533, val_acc=0.2820
Epoch 14: train_loss=1.6629, val_loss=1.7470, val_acc=0.3360
Epoch 15: train_loss=1.6493, val_loss=1.7410, val_acc=0.3620
Epoch 16: train_loss=1.6401, val_loss=1.7353, val_acc=0.4020
Epoch 17: train_loss=1.6175, val_loss=1.7298, val_acc=0.4320
Epoch 18: train_loss=1.6115, val_loss=1.7242, val_acc=0.4600
Epoch 19: train_loss=1.6024, val_loss=1.7188, val_acc=0.5080
Epoch 20: train_loss=1.5806, val_loss=1.7129, val_acc=0.5380
Epoch 21: train_loss=1.5773, val_loss=1.7066, val_acc=0.5580
Epoch 22: train_loss=1.5585, val_loss=1.7006, val_acc=0.5600
Epoch 23: train_loss=1.5325, val_loss=1.6940, val_acc=0.5820
Epoch 24: train_loss=1.5222, val_loss=1.6871, val_acc=0.6000
Epoch 25: train_loss=1.5074, val_loss=1.6805, val_acc=0.6180
Epoch 26: train_loss=1.5047, val_loss=1.6736, val_acc=0.6220
Epoch 27: train_loss=1.4633, val_loss=1.6660, val_acc=0.6340
Epoch 28: train_loss=1.4616, val_loss=1.6579, val_acc=0.6500
Epoch 29: train_loss=1.4478, val_loss=1.6496, val_acc=0.6580
Epoch 30: train_loss=1.4211, val_loss=1.6413, val_acc=0.6620
Epoch 31: train_loss=1.4033, val_loss=1.6336, val_acc=0.6660
Epoch 32: train_loss=1.4062, val_loss=1.6258, val_acc=0.6700
Epoch 33: train_loss=1.3806, val_loss=1.6185, val_acc=0.6560
Epoch 34: train_loss=1.3778, val_loss=1.6114, val_acc=0.6580
Epoch 35: train_loss=1.3490, val_loss=1.6044, val_acc=0.6580
Epoch 36: train_loss=1.3293, val_loss=1.5968, val_acc=0.6560
Epoch 37: train_loss=1.3191, val_loss=1.5885, val_acc=0.6500
Epoch 38: train_loss=1.3034, val_loss=1.5798, val_acc=0.6680
Epoch 39: train_loss=1.2824, val_loss=1.5713, val_acc=0.6700
Epoch 40: train_loss=1.2728, val_loss=1.5631, val_acc=0.6700
Epoch 41: train_loss=1.2556, val_loss=1.5545, val_acc=0.6720
Epoch 42: train_loss=1.2320, val_loss=1.5456, val_acc=0.6740
Epoch 43: train_loss=1.2327, val_loss=1.5364, val_acc=0.6740
Epoch 44: train_loss=1.2079, val_loss=1.5273, val_acc=0.6860
Epoch 45: train_loss=1.1870, val_loss=1.5189, val_acc=0.6880
Epoch 46: train_loss=1.1885, val_loss=1.5108, val_acc=0.6900
Epoch 47: train_loss=1.1583, val_loss=1.5028, val_acc=0.6920
Epoch 48: train_loss=1.1294, val_loss=1.4948, val_acc=0.6960
Epoch 49: train_loss=1.1337, val_loss=1.4870, val_acc=0.6940
