Epoch 1: train_loss=1.9458, val_loss=1.9437, val_acc=0.0900
Epoch 2: train_loss=1.9413, val_loss=1.9432, val_acc=0.1300
Epoch 3: train_loss=1.9349, val_loss=1.9406, val_acc=0.1560
Epoch 4: train_loss=1.9268, val_loss=1.9371, val_acc=0.2340
Epoch 5: train_loss=1.9182, val_loss=1.9315, val_acc=0.3120
Epoch 6: train_loss=1.9097, val_loss=1.9250, val_acc=0.3260
Epoch 7: train_loss=1.9007, val_loss=1.9192, val_acc=0.3060
Epoch 8: train_loss=1.8884, val_loss=1.9136, val_acc=0.3160
Epoch 9: train_loss=1.8769, val_loss=1.9078, val_acc=0.3280
Epoch 10: train_loss=1.8643, val_loss=1.9015, val_acc=0.3480
Epoch 11: train_loss=1.8536, val_loss=1.8946, val_acc=0.3640
Epoch 12: train_loss=1.8410, val_loss=1.8870, val_acc=0.3960
Epoch 13: train_loss=1.8259, val_loss=1.8788, val_acc=0.4280
Epoch 14: train_loss=1.8083, val_loss=1.8701, val_acc=0.4500
Epoch 15: train_loss=1.7975, val_loss=1.8615, val_acc=0.5020
Epoch 16: train_loss=1.7758, val_loss=1.8522, val_acc=0.5540
Epoch 17: train_loss=1.7784, val_loss=1.8431, val_acc=0.5900
Epoch 18: train_loss=1.7501, val_loss=1.8340, val_acc=0.6220
Epoch 19: train_loss=1.7382, val_loss=1.8248, val_acc=0.6460
Epoch 20: train_loss=1.7181, val_loss=1.8151, val_acc=0.6620
Epoch 21: train_loss=1.7073, val_loss=1.8054, val_acc=0.6780
Epoch 22: train_loss=1.6759, val_loss=1.7956, val_acc=0.6820
Epoch 23: train_loss=1.6570, val_loss=1.7850, val_acc=0.6900
Epoch 24: train_loss=1.6513, val_loss=1.7736, val_acc=0.7100
Epoch 25: train_loss=1.6246, val_loss=1.7620, val_acc=0.7220
Epoch 26: train_loss=1.6115, val_loss=1.7496, val_acc=0.7260
Epoch 27: train_loss=1.5791, val_loss=1.7366, val_acc=0.7260
Epoch 28: train_loss=1.5717, val_loss=1.7233, val_acc=0.7320
Epoch 29: train_loss=1.5391, val_loss=1.7097, val_acc=0.7360
