Epoch 1: train_loss=1.0989, val_loss=1.0995, val_acc=0.1960
Epoch 2: train_loss=1.0929, val_loss=1.1006, val_acc=0.1960
Epoch 3: train_loss=1.0887, val_loss=1.0985, val_acc=0.1960
Epoch 4: train_loss=1.0803, val_loss=1.0940, val_acc=0.1980
Epoch 5: train_loss=1.0708, val_loss=1.0888, val_acc=0.2460
Epoch 6: train_loss=1.0622, val_loss=1.0831, val_acc=0.3580
Epoch 7: train_loss=1.0481, val_loss=1.0771, val_acc=0.4660
Epoch 8: train_loss=1.0402, val_loss=1.0709, val_acc=0.5460
Epoch 9: train_loss=1.0219, val_loss=1.0645, val_acc=0.5780
Epoch 10: train_loss=1.0130, val_loss=1.0580, val_acc=0.6080
Epoch 11: train_loss=1.0103, val_loss=1.0508, val_acc=0.6400
Epoch 12: train_loss=0.9995, val_loss=1.0432, val_acc=0.6720
Epoch 13: train_loss=0.9903, val_loss=1.0360, val_acc=0.6900
Epoch 14: train_loss=0.9658, val_loss=1.0289, val_acc=0.6880
Epoch 15: train_loss=0.9520, val_loss=1.0211, val_acc=0.6940
Epoch 16: train_loss=0.9585, val_loss=1.0128, val_acc=0.6960
Epoch 17: train_loss=0.9238, val_loss=1.0044, val_acc=0.6940
Epoch 18: train_loss=0.9125, val_loss=0.9953, val_acc=0.7080
Epoch 19: train_loss=0.9007, val_loss=0.9858, val_acc=0.7080
Epoch 20: train_loss=0.8699, val_loss=0.9762, val_acc=0.7100
Epoch 21: train_loss=0.8795, val_loss=0.9666, val_acc=0.7160
Epoch 22: train_loss=0.8532, val_loss=0.9571, val_acc=0.7200
Epoch 23: train_loss=0.8451, val_loss=0.9472, val_acc=0.7240
Epoch 24: train_loss=0.8346, val_loss=0.9371, val_acc=0.7220
Epoch 25: train_loss=0.8037, val_loss=0.9272, val_acc=0.7320
Epoch 26: train_loss=0.7655, val_loss=0.9178, val_acc=0.7340
Epoch 27: train_loss=0.7708, val_loss=0.9085, val_acc=0.7340
Epoch 28: train_loss=0.7549, val_loss=0.8991, val_acc=0.7360
Epoch 29: train_loss=0.7589, val_loss=0.8900, val_acc=0.7360
Epoch 30: train_loss=0.7367, val_loss=0.8811, val_acc=0.7400
Epoch 31: train_loss=0.7353, val_loss=0.8723, val_acc=0.7400
Epoch 32: train_loss=0.7234, val_loss=0.8638, val_acc=0.7420
Epoch 33: train_loss=0.7106, val_loss=0.8554, val_acc=0.7420
Epoch 34: train_loss=0.6675, val_loss=0.8471, val_acc=0.7440
Epoch 35: train_loss=0.6531, val_loss=0.8382, val_acc=0.7440
Epoch 36: train_loss=0.6438, val_loss=0.8298, val_acc=0.7460
Epoch 37: train_loss=0.6248, val_loss=0.8216, val_acc=0.7460
Epoch 38: train_loss=0.6160, val_loss=0.8131, val_acc=0.7500
Epoch 39: train_loss=0.6196, val_loss=0.8046, val_acc=0.7500
Epoch 40: train_loss=0.5888, val_loss=0.7958, val_acc=0.7560
Epoch 41: train_loss=0.6083, val_loss=0.7874, val_acc=0.7540
Epoch 42: train_loss=0.5488, val_loss=0.7797, val_acc=0.7540
Epoch 43: train_loss=0.5639, val_loss=0.7725, val_acc=0.7580
Epoch 44: train_loss=0.5245, val_loss=0.7649, val_acc=0.7600
Epoch 45: train_loss=0.5607, val_loss=0.7580, val_acc=0.7620
Epoch 46: train_loss=0.5337, val_loss=0.7519, val_acc=0.7600
Epoch 47: train_loss=0.5167, val_loss=0.7465, val_acc=0.7600
Epoch 48: train_loss=0.5244, val_loss=0.7409, val_acc=0.7640
Epoch 49: train_loss=0.4848, val_loss=0.7360, val_acc=0.7640
Epoch 50: train_loss=0.4739, val_loss=0.7310, val_acc=0.7640
Epoch 51: train_loss=0.4644, val_loss=0.7259, val_acc=0.7640
Epoch 52: train_loss=0.4565, val_loss=0.7207, val_acc=0.7640
Epoch 53: train_loss=0.4505, val_loss=0.7162, val_acc=0.7660
Epoch 54: train_loss=0.4334, val_loss=0.7111, val_acc=0.7680
Epoch 55: train_loss=0.4323, val_loss=0.7063, val_acc=0.7680
Epoch 56: train_loss=0.4506, val_loss=0.7018, val_acc=0.7700
Epoch 57: train_loss=0.4393, val_loss=0.6976, val_acc=0.7700
Epoch 58: train_loss=0.4472, val_loss=0.6927, val_acc=0.7680
Epoch 59: train_loss=0.4323, val_loss=0.6872, val_acc=0.7720
Epoch 60: train_loss=0.4020, val_loss=0.6819, val_acc=0.7760
Epoch 61: train_loss=0.3810, val_loss=0.6777, val_acc=0.7780
Epoch 62: train_loss=0.3705, val_loss=0.6732, val_acc=0.7760
Epoch 63: train_loss=0.3533, val_loss=0.6693, val_acc=0.7760
Epoch 64: train_loss=0.3705, val_loss=0.6662, val_acc=0.7800
Epoch 65: train_loss=0.3523, val_loss=0.6640, val_acc=0.7860
Epoch 66: train_loss=0.3462, val_loss=0.6621, val_acc=0.7820
Epoch 67: train_loss=0.3382, val_loss=0.6607, val_acc=0.7800
Epoch 68: train_loss=0.3717, val_loss=0.6599, val_acc=0.7780
Epoch 69: train_loss=0.3414, val_loss=0.6585, val_acc=0.7760
Epoch 70: train_loss=0.3508, val_loss=0.6562, val_acc=0.7740
Epoch 71: train_loss=0.3486, val_loss=0.6521, val_acc=0.7760
Epoch 72: train_loss=0.3343, val_loss=0.6467, val_acc=0.7760
Epoch 73: train_loss=0.3294, val_loss=0.6417, val_acc=0.7780
Epoch 74: train_loss=0.3100, val_loss=0.6371, val_acc=0.7780
Epoch 75: train_loss=0.3317, val_loss=0.6331, val_acc=0.7820
Epoch 76: train_loss=0.3164, val_loss=0.6289, val_acc=0.7920
Epoch 77: train_loss=0.3333, val_loss=0.6260, val_acc=0.7980
Epoch 78: train_loss=0.3287, val_loss=0.6243, val_acc=0.8020
Epoch 79: train_loss=0.2832, val_loss=0.6233, val_acc=0.7980
Epoch 80: train_loss=0.2801, val_loss=0.6235, val_acc=0.7980
