Epoch 1: train_loss=1.7919, val_loss=1.7178, val_acc=0.5780
Epoch 2: train_loss=1.6625, val_loss=1.6810, val_acc=0.7000
Epoch 3: train_loss=1.5147, val_loss=1.6610, val_acc=0.4540
Epoch 4: train_loss=1.3956, val_loss=1.6155, val_acc=0.5460
Epoch 5: train_loss=1.2784, val_loss=1.5554, val_acc=0.6560
Epoch 6: train_loss=1.1636, val_loss=1.4991, val_acc=0.6940
Epoch 7: train_loss=1.0614, val_loss=1.4535, val_acc=0.6940
Epoch 8: train_loss=0.9728, val_loss=1.4167, val_acc=0.6940
Epoch 9: train_loss=0.8928, val_loss=1.3857, val_acc=0.6920
Epoch 10: train_loss=0.8186, val_loss=1.3603, val_acc=0.7040
Epoch 11: train_loss=0.7515, val_loss=1.3403, val_acc=0.7080
Epoch 12: train_loss=0.6931, val_loss=1.3241, val_acc=0.7020
Epoch 13: train_loss=0.6430, val_loss=1.3082, val_acc=0.6880
Epoch 14: train_loss=0.5993, val_loss=1.2905, val_acc=0.6840
Epoch 15: train_loss=0.5601, val_loss=1.2708, val_acc=0.6900
Epoch 16: train_loss=0.5250, val_loss=1.2508, val_acc=0.7000
Epoch 17: train_loss=0.4941, val_loss=1.2319, val_acc=0.7040
Epoch 18: train_loss=0.4673, val_loss=1.2153, val_acc=0.7040
Epoch 19: train_loss=0.4443, val_loss=1.2011, val_acc=0.7080
Epoch 20: train_loss=0.4243, val_loss=1.1894, val_acc=0.7040
Epoch 21: train_loss=0.4066, val_loss=1.1802, val_acc=0.7060
Epoch 22: train_loss=0.3909, val_loss=1.1734, val_acc=0.7040
Epoch 23: train_loss=0.3770, val_loss=1.1689, val_acc=0.7000
Epoch 24: train_loss=0.3648, val_loss=1.1661, val_acc=0.6960
Epoch 25: train_loss=0.3543, val_loss=1.1641, val_acc=0.6920
Epoch 26: train_loss=0.3454, val_loss=1.1621, val_acc=0.6920
Epoch 27: train_loss=0.3377, val_loss=1.1592, val_acc=0.6880
Epoch 28: train_loss=0.3310, val_loss=1.1551, val_acc=0.6880
Epoch 29: train_loss=0.3251, val_loss=1.1499, val_acc=0.6900
Epoch 30: train_loss=0.3200, val_loss=1.1441, val_acc=0.6900
Epoch 31: train_loss=0.3156, val_loss=1.1382, val_acc=0.6900
Epoch 32: train_loss=0.3120, val_loss=1.1328, val_acc=0.6960
Epoch 33: train_loss=0.3090, val_loss=1.1282, val_acc=0.6960
Epoch 34: train_loss=0.3065, val_loss=1.1248, val_acc=0.6980
Epoch 35: train_loss=0.3045, val_loss=1.1226, val_acc=0.6960
Epoch 36: train_loss=0.3028, val_loss=1.1214, val_acc=0.6960
Epoch 37: train_loss=0.3014, val_loss=1.1211, val_acc=0.6940
Epoch 38: train_loss=0.3004, val_loss=1.1214, val_acc=0.6940
Epoch 39: train_loss=0.2996, val_loss=1.1217, val_acc=0.6920
Epoch 40: train_loss=0.2990, val_loss=1.1218, val_acc=0.6900
Epoch 41: train_loss=0.2986, val_loss=1.1213, val_acc=0.6860
Epoch 42: train_loss=0.2984, val_loss=1.1200, val_acc=0.6880
Epoch 43: train_loss=0.2982, val_loss=1.1179, val_acc=0.6920
Epoch 44: train_loss=0.2981, val_loss=1.1152, val_acc=0.6920
Epoch 45: train_loss=0.2980, val_loss=1.1124, val_acc=0.6920
Epoch 46: train_loss=0.2980, val_loss=1.1097, val_acc=0.6920
Epoch 47: train_loss=0.2980, val_loss=1.1074, val_acc=0.6940
Epoch 48: train_loss=0.2980, val_loss=1.1058, val_acc=0.6940
Epoch 49: train_loss=0.2979, val_loss=1.1048, val_acc=0.6960
Epoch 50: train_loss=0.2979, val_loss=1.1043, val_acc=0.6960
Epoch 51: train_loss=0.2977, val_loss=1.1042, val_acc=0.6960
Epoch 52: train_loss=0.2976, val_loss=1.1041, val_acc=0.6920
Epoch 53: train_loss=0.2973, val_loss=1.1038, val_acc=0.6920
Epoch 54: train_loss=0.2971, val_loss=1.1030, val_acc=0.6920
Epoch 55: train_loss=0.2968, val_loss=1.1016, val_acc=0.6920
Epoch 56: train_loss=0.2964, val_loss=1.0998, val_acc=0.6920
Epoch 57: train_loss=0.2959, val_loss=1.0976, val_acc=0.6960
Epoch 58: train_loss=0.2954, val_loss=1.0953, val_acc=0.7020
Epoch 59: train_loss=0.2949, val_loss=1.0933, val_acc=0.7020
Epoch 60: train_loss=0.2943, val_loss=1.0916, val_acc=0.7020
Epoch 61: train_loss=0.2936, val_loss=1.0902, val_acc=0.7020
Epoch 62: train_loss=0.2929, val_loss=1.0892, val_acc=0.7020
Epoch 63: train_loss=0.2922, val_loss=1.0885, val_acc=0.7020
Epoch 64: train_loss=0.2915, val_loss=1.0878, val_acc=0.7020
Epoch 65: train_loss=0.2907, val_loss=1.0871, val_acc=0.7000
Epoch 66: train_loss=0.2899, val_loss=1.0861, val_acc=0.7000
Epoch 67: train_loss=0.2891, val_loss=1.0849, val_acc=0.7000
Epoch 68: train_loss=0.2883, val_loss=1.0834, val_acc=0.7000
Epoch 69: train_loss=0.2875, val_loss=1.0817, val_acc=0.7000
Epoch 70: train_loss=0.2867, val_loss=1.0800, val_acc=0.7020
Epoch 71: train_loss=0.2859, val_loss=1.0784, val_acc=0.7040
Epoch 72: train_loss=0.2851, val_loss=1.0770, val_acc=0.7040
