Epoch 1: train_loss=1.9461, val_loss=1.9374, val_acc=0.3320
Epoch 2: train_loss=1.8209, val_loss=1.8156, val_acc=0.6320
Epoch 3: train_loss=1.6686, val_loss=1.7216, val_acc=0.6320
Epoch 4: train_loss=1.5440, val_loss=1.6519, val_acc=0.6540
Epoch 5: train_loss=1.4248, val_loss=1.5941, val_acc=0.7540
Epoch 6: train_loss=1.3049, val_loss=1.5477, val_acc=0.7660
Epoch 7: train_loss=1.1940, val_loss=1.5087, val_acc=0.7280
Epoch 8: train_loss=1.0965, val_loss=1.4672, val_acc=0.7260
Epoch 9: train_loss=1.0080, val_loss=1.4179, val_acc=0.7160
Epoch 10: train_loss=0.9245, val_loss=1.3635, val_acc=0.7360
Epoch 11: train_loss=0.8467, val_loss=1.3100, val_acc=0.7540
Epoch 12: train_loss=0.7768, val_loss=1.2619, val_acc=0.7660
Epoch 13: train_loss=0.7154, val_loss=1.2206, val_acc=0.7720
Epoch 14: train_loss=0.6611, val_loss=1.1855, val_acc=0.7760
Epoch 15: train_loss=0.6117, val_loss=1.1558, val_acc=0.7800
Epoch 16: train_loss=0.5666, val_loss=1.1310, val_acc=0.7740
Epoch 17: train_loss=0.5258, val_loss=1.1103, val_acc=0.7780
Epoch 18: train_loss=0.4897, val_loss=1.0923, val_acc=0.7620
Epoch 19: train_loss=0.4580, val_loss=1.0752, val_acc=0.7580
Epoch 20: train_loss=0.4298, val_loss=1.0577, val_acc=0.7560
Epoch 21: train_loss=0.4045, val_loss=1.0394, val_acc=0.7640
Epoch 22: train_loss=0.3816, val_loss=1.0208, val_acc=0.7760
Epoch 23: train_loss=0.3609, val_loss=1.0029, val_acc=0.7760
Epoch 24: train_loss=0.3424, val_loss=0.9866, val_acc=0.7760
Epoch 25: train_loss=0.3259, val_loss=0.9726, val_acc=0.7800
Epoch 26: train_loss=0.3114, val_loss=0.9610, val_acc=0.7820
Epoch 27: train_loss=0.2984, val_loss=0.9518, val_acc=0.7840
Epoch 28: train_loss=0.2868, val_loss=0.9445, val_acc=0.7840
Epoch 29: train_loss=0.2764, val_loss=0.9388, val_acc=0.7820
Epoch 30: train_loss=0.2669, val_loss=0.9341, val_acc=0.7820
Epoch 31: train_loss=0.2585, val_loss=0.9300, val_acc=0.7800
Epoch 32: train_loss=0.2510, val_loss=0.9259, val_acc=0.7760
Epoch 33: train_loss=0.2444, val_loss=0.9215, val_acc=0.7740
