Epoch 1: train_loss=1.0989, val_loss=1.0189, val_acc=0.6000
Epoch 2: train_loss=1.0271, val_loss=1.0056, val_acc=0.7360
Epoch 3: train_loss=0.9398, val_loss=0.9991, val_acc=0.6240
Epoch 4: train_loss=0.8777, val_loss=0.9585, val_acc=0.6800
Epoch 5: train_loss=0.8146, val_loss=0.9042, val_acc=0.7300
Epoch 6: train_loss=0.7521, val_loss=0.8561, val_acc=0.7380
Epoch 7: train_loss=0.6987, val_loss=0.8205, val_acc=0.7420
Epoch 8: train_loss=0.6535, val_loss=0.7945, val_acc=0.7540
Epoch 9: train_loss=0.6116, val_loss=0.7742, val_acc=0.7540
Epoch 10: train_loss=0.5710, val_loss=0.7582, val_acc=0.7580
Epoch 11: train_loss=0.5335, val_loss=0.7453, val_acc=0.7520
Epoch 12: train_loss=0.5004, val_loss=0.7337, val_acc=0.7480
Epoch 13: train_loss=0.4715, val_loss=0.7209, val_acc=0.7460
Epoch 14: train_loss=0.4449, val_loss=0.7062, val_acc=0.7540
Epoch 15: train_loss=0.4196, val_loss=0.6905, val_acc=0.7620
Epoch 16: train_loss=0.3958, val_loss=0.6754, val_acc=0.7580
Epoch 17: train_loss=0.3740, val_loss=0.6622, val_acc=0.7600
Epoch 18: train_loss=0.3546, val_loss=0.6510, val_acc=0.7640
Epoch 19: train_loss=0.3370, val_loss=0.6416, val_acc=0.7640
Epoch 20: train_loss=0.3207, val_loss=0.6338, val_acc=0.7640
Epoch 21: train_loss=0.3053, val_loss=0.6276, val_acc=0.7660
Epoch 22: train_loss=0.2909, val_loss=0.6228, val_acc=0.7680
Epoch 23: train_loss=0.2775, val_loss=0.6193, val_acc=0.7680
Epoch 24: train_loss=0.2653, val_loss=0.6165, val_acc=0.7720
Epoch 25: train_loss=0.2541, val_loss=0.6137, val_acc=0.7680
Epoch 26: train_loss=0.2439, val_loss=0.6105, val_acc=0.7740
Epoch 27: train_loss=0.2343, val_loss=0.6066, val_acc=0.7760
Epoch 28: train_loss=0.2253, val_loss=0.6021, val_acc=0.7760
Epoch 29: train_loss=0.2168, val_loss=0.5973, val_acc=0.7760
Epoch 30: train_loss=0.2089, val_loss=0.5928, val_acc=0.7740
Epoch 31: train_loss=0.2016, val_loss=0.5888, val_acc=0.7720
Epoch 32: train_loss=0.1949, val_loss=0.5856, val_acc=0.7720
Epoch 33: train_loss=0.1886, val_loss=0.5832, val_acc=0.7700
Epoch 34: train_loss=0.1827, val_loss=0.5816, val_acc=0.7740
Epoch 35: train_loss=0.1772, val_loss=0.5807, val_acc=0.7760
Epoch 36: train_loss=0.1720, val_loss=0.5802, val_acc=0.7780
Epoch 37: train_loss=0.1671, val_loss=0.5800, val_acc=0.7760
Epoch 38: train_loss=0.1625, val_loss=0.5798, val_acc=0.7760
Epoch 39: train_loss=0.1583, val_loss=0.5794, val_acc=0.7760
Epoch 40: train_loss=0.1543, val_loss=0.5787, val_acc=0.7760
Epoch 41: train_loss=0.1506, val_loss=0.5777, val_acc=0.7760
Epoch 42: train_loss=0.1471, val_loss=0.5765, val_acc=0.7760
Epoch 43: train_loss=0.1438, val_loss=0.5752, val_acc=0.7760
Epoch 44: train_loss=0.1406, val_loss=0.5740, val_acc=0.7760
Epoch 45: train_loss=0.1377, val_loss=0.5729, val_acc=0.7800
Epoch 46: train_loss=0.1350, val_loss=0.5721, val_acc=0.7800
Epoch 47: train_loss=0.1324, val_loss=0.5716, val_acc=0.7800
Epoch 48: train_loss=0.1300, val_loss=0.5712, val_acc=0.7800
Epoch 49: train_loss=0.1278, val_loss=0.5710, val_acc=0.7800
Epoch 50: train_loss=0.1257, val_loss=0.5710, val_acc=0.7760
Epoch 51: train_loss=0.1237, val_loss=0.5710, val_acc=0.7760
Epoch 52: train_loss=0.1218, val_loss=0.5711, val_acc=0.7780
Epoch 53: train_loss=0.1200, val_loss=0.5712, val_acc=0.7780
Epoch 54: train_loss=0.1184, val_loss=0.5712, val_acc=0.7740
Epoch 55: train_loss=0.1168, val_loss=0.5711, val_acc=0.7740
Epoch 56: train_loss=0.1154, val_loss=0.5710, val_acc=0.7740
Epoch 57: train_loss=0.1140, val_loss=0.5707, val_acc=0.7780
Epoch 58: train_loss=0.1127, val_loss=0.5704, val_acc=0.7780
Epoch 59: train_loss=0.1114, val_loss=0.5699, val_acc=0.7760
Epoch 60: train_loss=0.1103, val_loss=0.5695, val_acc=0.7760
Epoch 61: train_loss=0.1092, val_loss=0.5691, val_acc=0.7760
Epoch 62: train_loss=0.1082, val_loss=0.5687, val_acc=0.7760
Epoch 63: train_loss=0.1072, val_loss=0.5684, val_acc=0.7740
Epoch 64: train_loss=0.1063, val_loss=0.5682, val_acc=0.7720
Epoch 65: train_loss=0.1054, val_loss=0.5682, val_acc=0.7720
Epoch 66: train_loss=0.1046, val_loss=0.5682, val_acc=0.7720
Epoch 67: train_loss=0.1038, val_loss=0.5682, val_acc=0.7720
Epoch 68: train_loss=0.1031, val_loss=0.5683, val_acc=0.7720
Epoch 69: train_loss=0.1024, val_loss=0.5683, val_acc=0.7720
Epoch 70: train_loss=0.1017, val_loss=0.5683, val_acc=0.7720
